gun,S,pay,pnl,cm,taker
08-14,1786665900,600.0,132.0,,0.0
08-14,1786666200,1879.401344,322.5579580300001,0.9388387392352698,651.1299999999999
08-14,1786666500,2964.2700970000005,1948.6990210800004,0.6373050439434078,1951.76
08-14,1786666800,598.9359549999999,52.34059952999996,,0.0
08-14,1786667100,1370.703229,259.02879934,,0.0
08-14,1786667400,1009.368727,288.07299776,,0.0
08-14,1786667700,718.28229,154.22169959999997,,0.0
08-14,1786668000,696.135495,206.77519955000002,,0.0
08-14,1786668300,218.25,30.241799999999984,,0.0
08-14,1786668600,262.48,55.97000000000003,,0.0
08-14,1786668900,2495.6897729999996,508.1054992299996,,0.0
08-14,1786669200,2364.1437619999997,-310.4935256799997,1.2545162789211683,695.3
08-14,1786669500,1828.2569549999998,-292.0170757000002,1.3168328032185876,614.12
08-14,1786669800,406.59428099999997,64.58185885999995,,300.0
08-14,1786670100,1115.730743,383.99739635000026,,0.0
08-14,1786670400,723.1879920000001,-62.69679870000016,1.439752072896244,198.62
08-14,1786670700,273.31,38.26339999999999,,0.0
08-14,1786671000,731.3403999999999,-112.90692000000007,1.4473257037829055,191.0
08-14,1786671300,219.555554,30.580309439999994,1.0092307692307694,65.0
08-14,1786671600,788.713741,168.49659842999995,,0.0
08-14,1786671900,461.27070000000003,33.656143000000014,0.8540789958594377,0.0
08-14,1786672200,187.40990799999997,26.039184739999996,1.0935118744365604,0.0
08-14,1786672500,1422.6334350000002,-871.0416428300002,1.2506595780438912,293.77
08-14,1786672800,50.905271,9.632128049999999,0.6214276756275743,0.0
08-14,1786673400,305.80555400000003,-47.443054700000005,1.05,0.0
08-14,1786673700,1042.0360819999999,-661.6931069899999,,0.0
08-14,1786674000,1299.8469050000003,123.02822398,0.805192483424316,552.45
08-14,1786675200,143.256841,42.76539979000002,,0.0
08-14,1786675500,212.94803600000003,92.77329825000001,,0.0
08-14,1786675800,140.756582,62.22339862000001,,0.0
08-14,1786676100,200.0,98.0,,0.0
